iter	Logloss
0	0.6616075302
1	0.6331690056
2	0.6072071381
3	0.5837882597
4	0.5649349754
5	0.5451645491
6	0.52749298
7	0.5107871574
8	0.4957631646
9	0.4819546041
10	0.4709580585
11	0.4592907301
12	0.449193717
13	0.4392804585
14	0.4308084237
15	0.4223886043
16	0.4151937178
17	0.4079728941
18	0.4013847471
19	0.3955882667
20	0.3902249014
21	0.3854827222
22	0.3801684606
23	0.3757568196
24	0.3716016985
25	0.3680753074
26	0.365189453
27	0.3619567886
28	0.3589831019
29	0.3559697053
30	0.3525824876
31	0.3495959943
32	0.347446965
33	0.3447159213
34	0.3424696935
35	0.3402184954
36	0.3382058621
37	0.3360566424
38	0.3340296935
39	0.3327182115
40	0.3313267883
41	0.3300776861
42	0.328819384
43	0.3272819961
44	0.3255970218
45	0.3242499648
46	0.3230494834
47	0.3216293562
48	0.320888848
49	0.3197617072
50	0.3188548643
51	0.3175524866
52	0.3160658711
53	0.3153401854
54	0.314507573
55	0.3133308596
56	0.3116847422
57	0.310636087
58	0.3096333313
59	0.3089357391
60	0.3082313237
61	0.3074754016
62	0.3067226473
63	0.3059739564
64	0.3052098068
65	0.3045012488
66	0.3038182024
67	0.3027894447
68	0.3019962881
69	0.301301701
70	0.3006661573
71	0.2996858709
72	0.2988506397
73	0.298416988
74	0.2977483004
75	0.2970962062
76	0.2966406472
77	0.2957554313
78	0.2947984688
79	0.2935501026
80	0.2929611281
81	0.2925141012
82	0.2920159527
83	0.2911799916
84	0.2907652473
85	0.2903766496
86	0.2898555386
87	0.2894562414
88	0.2892045666
89	0.2882662725
90	0.2877576412
91	0.2868120116
92	0.2861959973
93	0.2855937211
94	0.2851545093
95	0.2848418256
96	0.2845332128
97	0.2839657539
98	0.2836271116
99	0.283208565
100	0.2827408763
101	0.2822403
102	0.2815108204
103	0.2810718359
104	0.2807701628
105	0.2804311246
106	0.2797669439
107	0.279504025
108	0.2790917314
109	0.2786618071
110	0.2783804132
111	0.2779989121
112	0.2774730057
113	0.2771184901
114	0.276714898
115	0.2762892332
116	0.2760660127
117	0.2756802196
118	0.275471391
119	0.2752117629
120	0.2747714671
121	0.2744461806
122	0.2742393304
123	0.2737850398
124	0.273473785
125	0.2731147186
126	0.2728374826
127	0.2725995512
128	0.2722682609
129	0.2717809326
130	0.2714506031
131	0.2709869129
132	0.2707358079
133	0.2704322832
134	0.2701682403
135	0.2698011867
136	0.2694658704
137	0.2691873607
138	0.2689287342
139	0.2685144049
140	0.2682289261
141	0.2678628724
142	0.2672320464
143	0.2667486027
144	0.2662671952
145	0.265981565
146	0.2656061375
147	0.2652323583
148	0.2650102404
149	0.2647756701
150	0.2645965431
151	0.2642823209
152	0.2638966951
153	0.2636748992
154	0.2633672749
155	0.2631740339
156	0.2628547999
157	0.2626422027
158	0.2624420265
159	0.2620306492
160	0.2618094419
161	0.2616433465
162	0.2614066868
163	0.261071094
164	0.2608194115
165	0.2605658966
166	0.2603327577
167	0.2600493183
168	0.2595262988
169	0.2593849252
170	0.2591358963
171	0.2587115939
172	0.2584411626
173	0.2582477695
174	0.2576052397
175	0.2572966269
176	0.2570911783
177	0.2567758759
178	0.2565403223
179	0.2561754625
180	0.2555781018
181	0.2553434318
182	0.2551537346
183	0.2549497021
184	0.254791684
185	0.2546114226
186	0.2542364183
187	0.2540506925
188	0.2539295518
189	0.2536951235
190	0.2534515417
191	0.2531025018
192	0.2527645381
193	0.2525639748
194	0.2523422604
195	0.2520598495
196	0.2518965922
197	0.2517275464
198	0.251536557
199	0.2513493462
200	0.2508943241
201	0.2507387725
202	0.250484481
203	0.2501057333
204	0.2498116522
205	0.2496803519
206	0.2494659138
207	0.2490853592
208	0.2488623066
209	0.2486132392
210	0.2484080823
211	0.2481606094
212	0.2479572924
213	0.2477259208
214	0.2475306633
215	0.2473584917
216	0.2471299145
217	0.2468947535
218	0.2467312449
219	0.2465022482
220	0.2463072268
221	0.2461697746
222	0.2460036698
223	0.24579224
224	0.2456834872
225	0.2454435292
226	0.2453281345
227	0.2452204232
228	0.2449627054
229	0.2447588383
230	0.244609987
231	0.2443768575
232	0.2441932879
233	0.2440419855
234	0.243907075
235	0.2437546193
236	0.2435941485
237	0.2433919666
238	0.2430235551
239	0.2427875675
240	0.2426614168
241	0.2424913421
242	0.2423656653
243	0.2422018195
244	0.242013024
245	0.2418775284
246	0.2416195067
247	0.2413940258
248	0.2412137943
249	0.2409608205
250	0.240735529
251	0.2406147871
252	0.2404925655
253	0.2403615241
254	0.2402314129
255	0.2400577017
256	0.2398636149
257	0.2396517012
258	0.239343005
259	0.2389906872
260	0.2387729937
261	0.2385230829
262	0.2383144432
263	0.2381250954
264	0.2379334298
265	0.2378206963
266	0.2375440803
267	0.2373383481
268	0.2371260506
269	0.2367743425
270	0.2365970064
271	0.2363334088
272	0.236132299
273	0.2359341953
274	0.23578529
275	0.2355883132
276	0.2353922625
277	0.2352161884
278	0.2350210432
279	0.2348985041
280	0.2347626209
281	0.2344903874
282	0.2343032594
283	0.2341795206
284	0.2340297246
285	0.2338730643
286	0.2335701649
287	0.2334017658
288	0.2332350567
289	0.2328434117
290	0.2326169766
291	0.2324601799
292	0.2323023878
293	0.2321802827
294	0.2319752621
295	0.231703995
296	0.2315307443
297	0.2313855903
298	0.2311968182
299	0.2310816264
300	0.2308867533
301	0.2307244279
302	0.2305654907
303	0.2304113575
304	0.2300632928
305	0.2299311087
306	0.2296548713
307	0.2293924414
308	0.2292118347
309	0.2291093857
310	0.2289907203
311	0.228834951
312	0.2285958814
313	0.2285021089
314	0.2283450344
315	0.228113536
316	0.2278928255
317	0.2276905698
318	0.2274929396
319	0.2272022849
320	0.2270752364
321	0.2269340825
322	0.2267319476
323	0.2265456695
324	0.2263904902
325	0.226196898
326	0.2260874031
327	0.2259094492
328	0.2256813721
329	0.2255905974
330	0.2253989803
331	0.2252928109
332	0.2250746864
333	0.2247229541
334	0.2245535811
335	0.224376294
336	0.2242261944
337	0.2239591814
338	0.2236879449
339	0.2235502919
340	0.223343651
341	0.2231741109
342	0.2230899685
343	0.2228005673
344	0.2225777564
345	0.2224321636
346	0.2222748801
347	0.2220104709
348	0.2217948884
349	0.2215770681
350	0.2212695515
351	0.2209877407
352	0.2208493323
353	0.2206142794
354	0.2203854545
355	0.2201684572
356	0.2199165331
357	0.2197721271
358	0.2194705792
359	0.2191955098
360	0.2189298555
361	0.218788763
362	0.218625791
363	0.2184384385
364	0.2181973358
365	0.217993033
366	0.2177915757
367	0.217516088
368	0.217427605
369	0.217218376
370	0.2170926599
371	0.2168693972
372	0.2166775389
373	0.2165401224
374	0.2162827829
375	0.2160692609
376	0.2159260416
